0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
14.0,15.0,11.0,7.0,1.0,8.0,5.0,4.0,2.0,10.0,3.0,12.0,13.0,6.0,9.0,1.0,76.5
10.0,4.0,1.0,5.0,12.0,2.0,11.0,13.0,9.0,3.0,14.0,8.0,6.0,7.0,15.0,1.0,80.56
2.0,5.0,8.0,4.0,14.0,13.0,15.0,10.0,7.0,11.0,6.0,1.0,9.0,3.0,12.0,1.0,87.25
13.0,6.0,7.0,14.0,11.0,3.0,9.0,8.0,12.0,4.0,2.0,5.0,1.0,15.0,10.0,1.0,84.44
9.0,14.0,6.0,2.0,5.0,1.0,13.0,4.0,8.0,11.0,3.0,7.0,10.0,12.0,15.0,1.0,70.3
14.0,4.0,9.0,11.0,12.0,1.0,3.0,6.0,5.0,13.0,2.0,7.0,15.0,8.0,10.0,1.0,78.3
5.0,10.0,11.0,1.0,14.0,6.0,12.0,15.0,13.0,4.0,3.0,8.0,2.0,7.0,9.0,1.0,82.5
3.0,6.0,5.0,14.0,7.0,12.0,2.0,1.0,4.0,10.0,9.0,13.0,8.0,15.0,11.0,1.0,83.4
14.0,4.0,15.0,12.0,6.0,11.0,1.0,10.0,7.0,2.0,8.0,13.0,5.0,9.0,3.0,1.0,76.7
1.0,5.0,3.0,4.0,13.0,10.0,15.0,6.0,14.0,11.0,2.0,9.0,7.0,8.0,12.0,1.0,71.8
4.0,14.0,7.0,11.0,10.0,2.0,13.0,6.0,1.0,3.0,12.0,5.0,8.0,15.0,9.0,1.0,75.7
14.0,5.0,9.0,4.0,12.0,10.0,15.0,11.0,2.0,6.0,7.0,3.0,8.0,13.0,1.0,1.0,77.4
1.0,5.0,10.0,11.0,7.0,3.0,4.0,2.0,13.0,15.0,9.0,14.0,6.0,12.0,8.0,1.0,65.3
3.0,11.0,7.0,4.0,13.0,8.0,14.0,15.0,12.0,2.0,10.0,6.0,5.0,9.0,1.0,1.0,83.7
4.0,2.0,13.0,7.0,1.0,15.0,11.0,10.0,8.0,9.0,6.0,14.0,5.0,12.0,3.0,1.0,63.38
15.0,11.0,12.0,10.0,7.0,9.0,4.0,3.0,13.0,14.0,8.0,1.0,5.0,6.0,2.0,1.0,82.1
4.0,12.0,6.0,5.0,2.0,14.0,8.0,1.0,10.0,11.0,13.0,9.0,7.0,15.0,3.0,1.0,79.5
2.0,12.0,6.0,13.0,11.0,8.0,14.0,5.0,10.0,7.0,3.0,4.0,15.0,1.0,9.0,1.0,71.8
3.0,15.0,7.0,14.0,1.0,2.0,8.0,12.0,10.0,6.0,9.0,5.0,4.0,13.0,11.0,1.0,83.75
5.0,15.0,13.0,2.0,9.0,10.0,14.0,1.0,6.0,8.0,12.0,7.0,11.0,3.0,4.0,1.0,85.06
15.0,8.0,9.0,13.0,1.0,14.0,10.0,12.0,4.0,7.0,11.0,6.0,5.0,3.0,2.0,1.0,83.25
7.0,14.0,6.0,3.0,4.0,13.0,11.0,15.0,10.0,5.0,8.0,12.0,1.0,2.0,9.0,1.0,80.25
10.0,1.0,9.0,12.0,2.0,13.0,5.0,6.0,11.0,3.0,4.0,7.0,14.0,15.0,8.0,1.0,77.1
8.0,3.0,12.0,5.0,11.0,10.0,13.0,15.0,2.0,14.0,9.0,4.0,7.0,1.0,6.0,1.0,72.75
1.0,5.0,7.0,12.0,10.0,2.0,14.0,15.0,4.0,6.0,9.0,3.0,8.0,13.0,11.0,1.0,82.2
10.0,2.0,8.0,5.0,11.0,15.0,4.0,7.0,14.0,1.0,3.0,12.0,6.0,13.0,9.0,1.0,74.2
6.0,15.0,5.0,2.0,14.0,9.0,10.0,12.0,13.0,8.0,1.0,7.0,4.0,3.0,11.0,1.0,61.78
12.0,11.0,8.0,6.0,3.0,10.0,2.0,4.0,14.0,9.0,13.0,15.0,1.0,7.0,5.0,1.0,70.4
14.0,7.0,8.0,9.0,3.0,11.0,10.0,4.0,13.0,6.0,2.0,15.0,1.0,5.0,12.0,1.0,73.2
7.0,1.0,12.0,14.0,4.0,6.0,2.0,10.0,5.0,13.0,15.0,9.0,11.0,3.0,8.0,1.0,67.6
5.0,6.0,8.0,7.0,11.0,2.0,9.0,4.0,12.0,15.0,10.0,1.0,14.0,13.0,3.0,1.0,79.6
7.0,10.0,5.0,8.0,12.0,9.0,6.0,4.0,11.0,3.0,1.0,15.0,14.0,2.0,13.0,1.0,70.9
3.0,9.0,13.0,4.0,15.0,11.0,8.0,12.0,14.0,1.0,7.0,10.0,6.0,5.0,2.0,1.0,85.3
13.0,3.0,4.0,6.0,5.0,11.0,9.0,8.0,10.0,14.0,12.0,15.0,2.0,7.0,1.0,1.0,78.94
10.0,15.0,7.0,3.0,2.0,13.0,14.0,5.0,11.0,6.0,1.0,9.0,12.0,4.0,8.0,1.0,82.9
2.0,11.0,8.0,4.0,13.0,12.0,7.0,15.0,9.0,6.0,1.0,10.0,14.0,5.0,3.0,1.0,78.25
14.0,12.0,2.0,3.0,8.0,15.0,5.0,4.0,10.0,6.0,11.0,13.0,7.0,9.0,1.0,1.0,83.56
1.0,14.0,12.0,4.0,15.0,13.0,10.0,5.0,6.0,2.0,11.0,7.0,8.0,3.0,9.0,1.0,79.0
15.0,12.0,4.0,10.0,6.0,11.0,5.0,9.0,3.0,1.0,2.0,13.0,7.0,14.0,8.0,1.0,81.5
8.0,7.0,3.0,11.0,15.0,13.0,1.0,9.0,5.0,2.0,4.0,12.0,6.0,10.0,14.0,1.0,79.4
11.0,4.0,10.0,6.0,13.0,7.0,8.0,12.0,14.0,9.0,3.0,2.0,15.0,5.0,1.0,1.0,57.97
13.0,15.0,3.0,5.0,8.0,4.0,7.0,2.0,14.0,12.0,11.0,10.0,6.0,1.0,9.0,1.0,80.3
15.0,13.0,5.0,2.0,11.0,14.0,6.0,1.0,4.0,8.0,7.0,10.0,3.0,12.0,9.0,1.0,88.2
12.0,10.0,11.0,8.0,15.0,4.0,3.0,6.0,13.0,2.0,14.0,7.0,5.0,1.0,9.0,1.0,80.94
6.0,15.0,2.0,4.0,12.0,14.0,3.0,10.0,9.0,5.0,7.0,8.0,1.0,13.0,11.0,1.0,67.75
9.0,7.0,12.0,13.0,1.0,10.0,5.0,8.0,6.0,15.0,3.0,11.0,14.0,2.0,4.0,1.0,64.5
12.0,3.0,13.0,7.0,14.0,11.0,1.0,2.0,5.0,10.0,8.0,4.0,6.0,9.0,15.0,1.0,79.0
15.0,14.0,13.0,3.0,4.0,11.0,8.0,5.0,10.0,9.0,1.0,12.0,6.0,7.0,2.0,1.0,68.4
15.0,2.0,5.0,6.0,7.0,8.0,14.0,11.0,9.0,3.0,13.0,12.0,4.0,1.0,10.0,1.0,84.94
9.0,10.0,15.0,12.0,7.0,13.0,6.0,11.0,5.0,4.0,1.0,14.0,8.0,2.0,3.0,1.0,66.0
10.0,13.0,4.0,12.0,11.0,15.0,2.0,9.0,1.0,14.0,5.0,6.0,3.0,7.0,8.0,1.0,64.4
5.0,12.0,9.0,8.0,2.0,7.0,6.0,11.0,3.0,14.0,15.0,1.0,13.0,4.0,10.0,1.0,66.94
7.0,11.0,10.0,15.0,9.0,13.0,2.0,3.0,12.0,14.0,5.0,6.0,8.0,4.0,1.0,1.0,60.0
10.0,12.0,9.0,3.0,14.0,7.0,1.0,6.0,4.0,5.0,13.0,2.0,8.0,11.0,15.0,1.0,85.0
14.0,8.0,12.0,9.0,13.0,11.0,7.0,1.0,6.0,2.0,4.0,5.0,15.0,10.0,3.0,1.0,73.4
15.0,2.0,13.0,12.0,3.0,4.0,7.0,6.0,14.0,9.0,11.0,5.0,1.0,10.0,8.0,1.0,87.4
7.0,8.0,1.0,6.0,5.0,14.0,2.0,12.0,3.0,4.0,13.0,9.0,10.0,11.0,15.0,1.0,89.9
1.0,10.0,11.0,3.0,4.0,14.0,12.0,8.0,13.0,9.0,2.0,15.0,7.0,6.0,5.0,1.0,74.25
6.0,13.0,7.0,3.0,9.0,12.0,1.0,4.0,15.0,5.0,2.0,11.0,8.0,14.0,10.0,1.0,78.2
11.0,6.0,3.0,15.0,14.0,4.0,8.0,13.0,2.0,1.0,9.0,5.0,7.0,10.0,12.0,1.0,78.9
6.0,11.0,2.0,3.0,15.0,14.0,8.0,4.0,10.0,9.0,7.0,13.0,1.0,5.0,12.0,1.0,70.1
8.0,10.0,3.0,2.0,1.0,7.0,6.0,14.0,5.0,15.0,12.0,9.0,4.0,13.0,11.0,1.0,75.9
6.0,1.0,11.0,12.0,15.0,3.0,5.0,8.0,10.0,13.0,4.0,2.0,9.0,14.0,7.0,1.0,81.75
10.0,8.0,9.0,6.0,11.0,13.0,12.0,4.0,14.0,1.0,2.0,3.0,5.0,15.0,7.0,1.0,75.1
7.0,6.0,12.0,13.0,15.0,11.0,4.0,14.0,1.0,2.0,10.0,8.0,9.0,5.0,3.0,1.0,82.94
3.0,10.0,14.0,1.0,9.0,15.0,12.0,6.0,2.0,8.0,13.0,7.0,4.0,5.0,11.0,1.0,78.2
9.0,6.0,12.0,4.0,5.0,1.0,10.0,7.0,11.0,15.0,13.0,2.0,8.0,14.0,3.0,1.0,66.3
3.0,7.0,4.0,5.0,11.0,15.0,6.0,9.0,8.0,13.0,2.0,1.0,14.0,10.0,12.0,1.0,66.4
14.0,10.0,7.0,11.0,6.0,9.0,5.0,13.0,15.0,1.0,8.0,3.0,4.0,12.0,2.0,1.0,77.94
13.0,6.0,15.0,4.0,10.0,2.0,11.0,7.0,8.0,12.0,3.0,9.0,14.0,1.0,5.0,1.0,76.44
7.0,12.0,8.0,14.0,3.0,11.0,13.0,10.0,1.0,5.0,6.0,9.0,4.0,15.0,2.0,1.0,77.06
7.0,6.0,9.0,11.0,10.0,4.0,13.0,2.0,14.0,15.0,5.0,8.0,12.0,1.0,3.0,1.0,85.8
8.0,3.0,7.0,12.0,1.0,5.0,15.0,10.0,4.0,13.0,11.0,9.0,2.0,14.0,6.0,1.0,71.4
1.0,12.0,10.0,15.0,5.0,3.0,11.0,8.0,7.0,13.0,4.0,2.0,14.0,6.0,9.0,1.0,81.1
14.0,15.0,12.0,2.0,9.0,5.0,10.0,13.0,7.0,3.0,4.0,11.0,1.0,8.0,6.0,1.0,76.6
13.0,11.0,10.0,6.0,12.0,5.0,8.0,4.0,9.0,7.0,15.0,1.0,14.0,2.0,3.0,1.0,59.06
13.0,15.0,10.0,12.0,9.0,8.0,3.0,14.0,1.0,6.0,2.0,5.0,4.0,7.0,11.0,1.0,82.06
11.0,6.0,4.0,8.0,14.0,13.0,7.0,12.0,2.0,1.0,3.0,9.0,15.0,5.0,10.0,1.0,64.25
2.0,1.0,13.0,10.0,11.0,5.0,14.0,7.0,12.0,15.0,6.0,8.0,4.0,9.0,3.0,1.0,85.8
15.0,5.0,12.0,10.0,14.0,1.0,13.0,6.0,11.0,7.0,8.0,3.0,4.0,9.0,2.0,1.0,79.1
6.0,8.0,9.0,2.0,13.0,5.0,1.0,15.0,14.0,12.0,10.0,3.0,4.0,11.0,7.0,1.0,80.0
1.0,10.0,6.0,3.0,7.0,4.0,12.0,15.0,2.0,8.0,13.0,9.0,5.0,14.0,11.0,1.0,86.0
